format,scheduled_date,primary_keyword,drafted_at,title,error,pillar,persona,notes,dale_chall,secondary_keywords,draft_folder,status,published_at
,2028-02-28,,,🐯 📹 Video 2: Babs (Barbie) — Hard Pull vs. Soft Pull: What Actually Happens to ,,Pillar 2: Demystifying Finance,,Cat content for: Hard Pull vs. Soft Pull: What Actually Happens to Your Credi,,,,cat_content,
,2028-03-06,,,🐯 📸 Photo 2: Babs (Barbie) — Hard Pull vs. Soft Pull: What Actually Happens to ,,Pillar 2: Demystifying Finance,,Cat content for: Hard Pull vs. Soft Pull: What Actually Happens to Your Credi,,,,cat_content,
,2028-03-13,,,🐯 📹 Video 3: Babs (Barbie) — Hard Pull vs. Soft Pull: What Actually Happens to ,,Pillar 2: Demystifying Finance,,Cat content for: Hard Pull vs. Soft Pull: What Actually Happens to Your Credi,,,,cat_content,
educational,2028-03-20,how to lower debt-to-income ratio for loan,,What the Debt-to-Income Ratio Really Measures — and How to Move It,,Pillar 2: Demystifying Finance,Priya,"DTI is one of the most consequential — and least explained — numbers in lending. This post shows how lenders calculate it, what the thresholds actually mean, and three concrete moves that shift it before a loan application.",,debt-to-income ratio explained|DTI ratio mortgage|what is a good DTI ratio|how lenders calculate DTI,,scheduled,
,2028-03-27,,,🐯 📸 Photo 1: Babs (Barbie) — What the Debt-to-Income Ratio Really Measures — an,,Pillar 2: Demystifying Finance,,Cat content for: What the Debt-to-Income Ratio Really Measures — and How to M,,,,cat_content,
,2028-04-03,,,🐯 📹 Video 1: Babs (Barbie) — What the Debt-to-Income Ratio Really Measures — an,,Pillar 2: Demystifying Finance,,Cat content for: What the Debt-to-Income Ratio Really Measures — and How to M,,,,cat_content,
,2028-04-10,,,🐯 📹 Video 2: Babs (Barbie) — What the Debt-to-Income Ratio Really Measures — an,,Pillar 2: Demystifying Finance,,Cat content for: What the Debt-to-Income Ratio Really Measures — and How to M,,,,cat_content,
,2028-04-17,,,🐯 📸 Photo 2: Babs (Barbie) — What the Debt-to-Income Ratio Really Measures — an,,Pillar 2: Demystifying Finance,,Cat content for: What the Debt-to-Income Ratio Really Measures — and How to M,,,,cat_content,
,2028-04-24,,,🐯 📹 Video 3: Babs (Barbie) — What the Debt-to-Income Ratio Really Measures — an,,Pillar 2: Demystifying Finance,,Cat content for: What the Debt-to-Income Ratio Really Measures — and How to M,,,,cat_content,
industry,2028-05-01,employer caregiver support benefits,,The Real Cost of No Caregiver Support at Work — and Why $400 a Month Changes Everything,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,Priya,"455,000 women left the workforce in 2025; 42% cited caregiving (Catalyst/BLS 2026). This post quantifies both the cost to employers of losing a mid-career woman and the surprisingly small intervention — a DCAP of $400/month — that changes the retention equation.",,dependent care assistance program|DCAP benefit|childcare support at work|caregiving and women workforce,,scheduled,
,2028-05-08,,,🐯 📸 Photo 1: Babs (Barbie) — The Real Cost of No Caregiver Support at Work — an,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Real Cost of No Caregiver Support at Work — and Why $400,,,,cat_content,
,2028-05-15,,,🐯 📹 Video 1: Babs (Barbie) — The Real Cost of No Caregiver Support at Work — an,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Real Cost of No Caregiver Support at Work — and Why $400,,,,cat_content,
,2028-05-22,,,🐯 📹 Video 2: Babs (Barbie) — The Real Cost of No Caregiver Support at Work — an,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Real Cost of No Caregiver Support at Work — and Why $400,,,,cat_content,
,2028-05-29,,,🐯 📸 Photo 2: Babs (Barbie) — The Real Cost of No Caregiver Support at Work — an,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Real Cost of No Caregiver Support at Work — and Why $400,,,,cat_content,
,2028-06-05,,,🐯 📹 Video 3: Babs (Barbie) — The Real Cost of No Caregiver Support at Work — an,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Real Cost of No Caregiver Support at Work — and Why $400,,,,cat_content,
industry,2028-06-12,paid parental leave statistics women workforce,,12 Weeks Isn't a Perk. It's the Economics of Keeping Women in the Workforce.,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Average US maternity leave is 7.2 weeks (Minneapolis Fed 2024), and most of that is unpaid. This post frames adequate paid leave not as generosity but as a structural fix for the post-birth attrition that costs companies far more than the leave itself.",,maternity leave United States|paid leave economic impact|parental leave retention|average US maternity leave,,scheduled,
,2028-06-19,,,🐯 📸 Photo 1: Babs (Barbie) — 12 Weeks Isn't a Perk. It's the Economics of Keepi,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: 12 Weeks Isn't a Perk. It's the Economics of Keeping Women i,,,,cat_content,
,2028-06-26,,,🐯 📹 Video 1: Babs (Barbie) — 12 Weeks Isn't a Perk. It's the Economics of Keepi,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: 12 Weeks Isn't a Perk. It's the Economics of Keeping Women i,,,,cat_content,
,2028-07-03,,,🐯 📹 Video 2: Babs (Barbie) — 12 Weeks Isn't a Perk. It's the Economics of Keepi,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: 12 Weeks Isn't a Perk. It's the Economics of Keeping Women i,,,,cat_content,
,2028-07-10,,,🐯 📸 Photo 2: Babs (Barbie) — 12 Weeks Isn't a Perk. It's the Economics of Keepi,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: 12 Weeks Isn't a Perk. It's the Economics of Keeping Women i,,,,cat_content,
,2028-07-17,,,🐯 📹 Video 3: Babs (Barbie) — 12 Weeks Isn't a Perk. It's the Economics of Keepi,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: 12 Weeks Isn't a Perk. It's the Economics of Keeping Women i,,,,cat_content,
behavioral,2028-07-24,mental accounting and money decisions,,Mental Accounting: Why Your Brain Treats a Tax Refund Differently Than a Paycheck,,Pillar 4: Behavioral Science Insights,Maya,"Mental accounting causes people to treat irregular income — tax refunds, client bonuses, project windfalls — as 'fun money' rather than income, leading to systematic underinvestment. Freelancers are especially exposed. This post gives a concrete reframing and a one-decision rule for windfalls.",,tax refund psychology|behavioral economics personal finance|why windfalls get spent|freelancer financial planning,,scheduled,
,2028-07-31,,,🐯 📸 Photo 1: Babs (Barbie) — Mental Accounting: Why Your Brain Treats a Tax Ref,,Pillar 4: Behavioral Science Insights,,Cat content for: Mental Accounting: Why Your Brain Treats a Tax Refund Differ,,,,cat_content,
,2028-08-07,,,🐯 📹 Video 1: Babs (Barbie) — Mental Accounting: Why Your Brain Treats a Tax Ref,,Pillar 4: Behavioral Science Insights,,Cat content for: Mental Accounting: Why Your Brain Treats a Tax Refund Differ,,,,cat_content,
,2028-08-14,,,🐯 📹 Video 2: Babs (Barbie) — Mental Accounting: Why Your Brain Treats a Tax Ref,,Pillar 4: Behavioral Science Insights,,Cat content for: Mental Accounting: Why Your Brain Treats a Tax Refund Differ,,,,cat_content,
,2028-08-21,,,🐯 📸 Photo 2: Babs (Barbie) — Mental Accounting: Why Your Brain Treats a Tax Ref,,Pillar 4: Behavioral Science Insights,,Cat content for: Mental Accounting: Why Your Brain Treats a Tax Refund Differ,,,,cat_content,
,2028-08-28,,,🐯 📹 Video 3: Babs (Barbie) — Mental Accounting: Why Your Brain Treats a Tax Ref,,Pillar 4: Behavioral Science Insights,,Cat content for: Mental Accounting: Why Your Brain Treats a Tax Refund Differ,,,,cat_content,
educational,2028-09-04,how to document self-employed income for loan,,How to Document Non-W-2 Income So Lenders Can't Ignore It,,Pillar 1: Financial Education for Non-Traditional Paths,Carmen,"Carmen has four years of profitable business financials and still gets declined because she's not presenting them the way underwriters are trained to read them. This post is a documentation checklist — P&L, tax returns, bank statement packaging — that turns 'self-employed' from a liability into evidence.",,business owner loan documentation|profit and loss statement loan application|non-W2 income verification|small business loan income proof,,scheduled,
,2028-09-11,,,🐯 📸 Photo 1: Babs (Barbie) — How to Document Non-W-2 Income So Lenders Can't Ig,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Document Non-W-2 Income So Lenders Can't Ignore It,,,,cat_content,
,2028-09-18,,,🐯 📹 Video 1: Babs (Barbie) — How to Document Non-W-2 Income So Lenders Can't Ig,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Document Non-W-2 Income So Lenders Can't Ignore It,,,,cat_content,
,2028-09-25,,,🐯 📹 Video 2: Babs (Barbie) — How to Document Non-W-2 Income So Lenders Can't Ig,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Document Non-W-2 Income So Lenders Can't Ignore It,,,,cat_content,
,2028-10-02,,,🐯 📸 Photo 2: Babs (Barbie) — How to Document Non-W-2 Income So Lenders Can't Ig,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Document Non-W-2 Income So Lenders Can't Ignore It,,,,cat_content,
,2028-10-09,,,🐯 📹 Video 3: Babs (Barbie) — How to Document Non-W-2 Income So Lenders Can't Ig,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: How to Document Non-W-2 Income So Lenders Can't Ignore It,,,,cat_content,
industry,2028-10-16,employee wellness budget benefits retention,,The Wellness Budget Is a Retention Strategy — Not a Perk,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Only 36% of working caregivers report 'very good' mental health (Guardian Life 2025). This post argues that a no-approval-required wellness budget — covering therapy, professional development, or rest — is not a nice-to-have but a structural response to a documented mental health gap that disproportionately affects women who carry caregiving responsibility.",,caregiver mental health at work|working women burnout statistics|mental health benefit employees|stipend for therapy work,,scheduled,
,2028-10-23,,,🐯 📸 Photo 1: Babs (Barbie) — The Wellness Budget Is a Retention Strategy — Not ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Wellness Budget Is a Retention Strategy — Not a Perk,,,,cat_content,
,2028-10-30,,,🐯 📹 Video 1: Babs (Barbie) — The Wellness Budget Is a Retention Strategy — Not ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Wellness Budget Is a Retention Strategy — Not a Perk,,,,cat_content,
,2028-11-06,,,🐯 📹 Video 2: Babs (Barbie) — The Wellness Budget Is a Retention Strategy — Not ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Wellness Budget Is a Retention Strategy — Not a Perk,,,,cat_content,
,2028-11-13,,,🐯 📸 Photo 2: Babs (Barbie) — The Wellness Budget Is a Retention Strategy — Not ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Wellness Budget Is a Retention Strategy — Not a Perk,,,,cat_content,
,2028-11-20,,,🐯 📹 Video 3: Babs (Barbie) — The Wellness Budget Is a Retention Strategy — Not ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Wellness Budget Is a Retention Strategy — Not a Perk,,,,cat_content,
educational,2028-11-27,fair lending laws for women,,What Fair Lending Laws Actually Require — and Where They Fall Short,,Pillar 2: Demystifying Finance,All,"ECOA prohibits discrimination on the basis of sex, but it doesn't prohibit using proxies — like income type or employment continuity — that correlate with gender. This post explains what the law actually covers, what it misses, and what a borrower can do when she suspects the decision wasn't fair.",,ECOA women credit|Equal Credit Opportunity Act explained|CFPB fair lending|lending discrimination legal protections,,scheduled,
,2028-12-04,,,🐯 📸 Photo 1: Babs (Barbie) — What Fair Lending Laws Actually Require — and Wher,,Pillar 2: Demystifying Finance,,Cat content for: What Fair Lending Laws Actually Require — and Where They Fal,,,,cat_content,
,2028-12-11,,,🐯 📹 Video 1: Babs (Barbie) — What Fair Lending Laws Actually Require — and Wher,,Pillar 2: Demystifying Finance,,Cat content for: What Fair Lending Laws Actually Require — and Where They Fal,,,,cat_content,
,2028-12-18,,,🐯 📹 Video 2: Babs (Barbie) — What Fair Lending Laws Actually Require — and Wher,,Pillar 2: Demystifying Finance,,Cat content for: What Fair Lending Laws Actually Require — and Where They Fal,,,,cat_content,
,2028-12-25,,,🐯 📸 Photo 2: Babs (Barbie) — What Fair Lending Laws Actually Require — and Wher,,Pillar 2: Demystifying Finance,,Cat content for: What Fair Lending Laws Actually Require — and Where They Fal,,,,cat_content,
,2029-01-01,,,🐯 📹 Video 3: Babs (Barbie) — What Fair Lending Laws Actually Require — and Wher,,Pillar 2: Demystifying Finance,,Cat content for: What Fair Lending Laws Actually Require — and Where They Fal,,,,cat_content,
behavioral,2029-01-08,loss aversion financial decisions,,Loss Aversion Is Keeping You in the Wrong Financial Products,,Pillar 4: Behavioral Science Insights,Dominique,Kahneman's loss aversion explains why a 750-FICO borrower pays 19% APR for years rather than shop for better terms: the imagined risk of switching outweighs the documented cost of staying. This post reframes comparison-shopping as loss prevention — the framing that actually moves high earners to act.,,behavioral finance loss aversion|why people stay with bad bank|switching cost psychology|sunk cost fallacy personal finance,,scheduled,
,2029-01-15,,,🐯 📸 Photo 1: Babs (Barbie) — Loss Aversion Is Keeping You in the Wrong Financia,,Pillar 4: Behavioral Science Insights,,Cat content for: Loss Aversion Is Keeping You in the Wrong Financial Products,,,,cat_content,
,2029-01-22,,,🐯 📹 Video 1: Babs (Barbie) — Loss Aversion Is Keeping You in the Wrong Financia,,Pillar 4: Behavioral Science Insights,,Cat content for: Loss Aversion Is Keeping You in the Wrong Financial Products,,,,cat_content,
,2029-01-29,,,🐯 📹 Video 2: Babs (Barbie) — Loss Aversion Is Keeping You in the Wrong Financia,,Pillar 4: Behavioral Science Insights,,Cat content for: Loss Aversion Is Keeping You in the Wrong Financial Products,,,,cat_content,
,2029-02-05,,,🐯 📸 Photo 2: Babs (Barbie) — Loss Aversion Is Keeping You in the Wrong Financia,,Pillar 4: Behavioral Science Insights,,Cat content for: Loss Aversion Is Keeping You in the Wrong Financial Products,,,,cat_content,
,2029-02-12,,,🐯 📹 Video 3: Babs (Barbie) — Loss Aversion Is Keeping You in the Wrong Financia,,Pillar 4: Behavioral Science Insights,,Cat content for: Loss Aversion Is Keeping You in the Wrong Financial Products,,,,cat_content,
industry,2029-02-19,remote work gender equity hiring,,How Remote-First Hiring Unlocks Talent That Office Policies Were Losing,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Geography is a structural barrier for women who follow a spouse's relocation, return to a hometown for caregiving, or live outside major metro areas. This post quantifies the talent pool that remote-first hiring opens — and the concentrated diversity benefits — using labor market participation data by geography and care status.",,remote first company women|geographic barriers women workforce|flexible hiring policy talent|distributed team diversity,,scheduled,
,2029-02-26,,,🐯 📸 Photo 1: Babs (Barbie) — How Remote-First Hiring Unlocks Talent That Office,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: How Remote-First Hiring Unlocks Talent That Office Policies ,,,,cat_content,
,2029-03-05,,,🐯 📹 Video 1: Babs (Barbie) — How Remote-First Hiring Unlocks Talent That Office,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: How Remote-First Hiring Unlocks Talent That Office Policies ,,,,cat_content,
,2029-03-12,,,🐯 📹 Video 2: Babs (Barbie) — How Remote-First Hiring Unlocks Talent That Office,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: How Remote-First Hiring Unlocks Talent That Office Policies ,,,,cat_content,
,2029-03-19,,,🐯 📸 Photo 2: Babs (Barbie) — How Remote-First Hiring Unlocks Talent That Office,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: How Remote-First Hiring Unlocks Talent That Office Policies ,,,,cat_content,
,2029-03-26,,,🐯 📹 Video 3: Babs (Barbie) — How Remote-First Hiring Unlocks Talent That Office,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: How Remote-First Hiring Unlocks Talent That Office Policies ,,,,cat_content,
educational,2029-04-02,cash flow management freelancer 1099,,Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't Tell You,,Pillar 1: Financial Education for Non-Traditional Paths,Maya,"Irregular deposit timing — not irregular income — is what tanks cash flow for freelancers with strong annual revenue. This post introduces a three-account system (operating, tax reserve, opportunity fund) and shows how 30/60/90-day invoicing patterns should shape it — practical infrastructure, not generic budgeting advice.",,freelance income variability planning|self-employed cash flow|quarterly tax freelancer|irregular income budgeting,,scheduled,
,2029-04-09,,,🐯 📸 Photo 1: Babs (Barbie) — Managing Cash Flow as a 1099 Worker: What Your Ban,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't ,,,,cat_content,
,2029-04-16,,,🐯 📹 Video 1: Babs (Barbie) — Managing Cash Flow as a 1099 Worker: What Your Ban,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't ,,,,cat_content,
,2029-04-23,,,🐯 📹 Video 2: Babs (Barbie) — Managing Cash Flow as a 1099 Worker: What Your Ban,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't ,,,,cat_content,
,2029-04-30,,,🐯 📸 Photo 2: Babs (Barbie) — Managing Cash Flow as a 1099 Worker: What Your Ban,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't ,,,,cat_content,
,2029-05-07,,,🐯 📹 Video 3: Babs (Barbie) — Managing Cash Flow as a 1099 Worker: What Your Ban,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: Managing Cash Flow as a 1099 Worker: What Your Bank Doesn't ,,,,cat_content,
industry,2029-05-14,lending algorithm discrimination women,,Lending Algorithms Are Overcharging Women — New Research Proves It,,Pillar 5: Industry Trends & Advocacy,All,"Source: arXiv:2512.20753 — Coots, Bartlett, Nyarko & Goel (Dec 2025). Key finding: fintech algorithm overestimates risk for women (disadvantaging them on pricing) while underestimating risk for Black borrowers — stemming from model miscalibration not intentional bias. Cite the paper directly with link. IvyEdge angle: the model wasn't built with you in mind, and the math proves it.",,fintech gender bias|credit pricing women|algorithmic lending fairness|FICO miscalibration women|arXiv 2512.20753,,scheduled,
,2029-05-21,,,🐯 📸 Photo 1: Babs (Barbie) — Lending Algorithms Are Overcharging Women — New Re,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Lending Algorithms Are Overcharging Women — New Research Pro,,,,cat_content,
,2029-05-28,,,🐯 📹 Video 1: Babs (Barbie) — Lending Algorithms Are Overcharging Women — New Re,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Lending Algorithms Are Overcharging Women — New Research Pro,,,,cat_content,
,2029-06-04,,,🐯 📹 Video 2: Babs (Barbie) — Lending Algorithms Are Overcharging Women — New Re,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Lending Algorithms Are Overcharging Women — New Research Pro,,,,cat_content,
,2029-06-11,,,🐯 📸 Photo 2: Babs (Barbie) — Lending Algorithms Are Overcharging Women — New Re,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Lending Algorithms Are Overcharging Women — New Research Pro,,,,cat_content,
,2029-06-18,,,🐯 📹 Video 3: Babs (Barbie) — Lending Algorithms Are Overcharging Women — New Re,,Pillar 5: Industry Trends & Advocacy,,Cat content for: Lending Algorithms Are Overcharging Women — New Research Pro,,,,cat_content,
educational,2029-06-25,how to get approved for a loan as a freelancer,,What Underwriters Actually See When They Look at 1099 Income,,Pillar 1: Financial Education for Non-Traditional Paths,Maya,"Walk Maya through exactly what happens inside an underwriting decision when she submits 1099 income — why monthly deposit variance triggers risk flags even when annual revenue is strong and consistent. IvyEdge's POV: the problem isn't her income, it's the look-back window and income-smoothing logic underwriters use. Anchor with the stat that self-employed applicants are denied at nearly double the rate of W-2 applicants for equivalent incomes (Federal Reserve Small Business Credit Survey). [bumped by trending topic]",,1099 income loan approval|underwriting for self-employed women|freelance income documentation for mortgage,,scheduled,
,2029-07-02,,,🐯 📸 Photo 1: Babs (Barbie) — What Underwriters Actually See When They Look at 1,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: What Underwriters Actually See When They Look at 1099 Income,,,,cat_content,
,2029-07-09,,,🐯 📹 Video 1: Babs (Barbie) — What Underwriters Actually See When They Look at 1,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: What Underwriters Actually See When They Look at 1099 Income,,,,cat_content,
,2029-07-16,,,🐯 📹 Video 2: Babs (Barbie) — What Underwriters Actually See When They Look at 1,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: What Underwriters Actually See When They Look at 1099 Income,,,,cat_content,
,2029-07-23,,,🐯 📸 Photo 2: Babs (Barbie) — What Underwriters Actually See When They Look at 1,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: What Underwriters Actually See When They Look at 1099 Income,,,,cat_content,
,2029-07-30,,,🐯 📹 Video 3: Babs (Barbie) — What Underwriters Actually See When They Look at 1,,Pillar 1: Financial Education for Non-Traditional Paths,,Cat content for: What Underwriters Actually See When They Look at 1099 Income,,,,cat_content,
behavioral,2029-08-06,does checking credit score improve credit,,Why Watching Your Credit Score Move Actually Changes Your Behavior,,Pillar 4: Behavioral Science Insights,All,"Grounded in the 'progress principle' (Teresa Amabile, Harvard) and goal-gradient theory — people accelerate effort as they get closer to a visible target. Real-time credit monitoring isn't just informational; it creates a feedback loop that changes payment behavior. IvyEdge's angle: knowing your number isn't enough — you need to see it move to feel the pull of momentum. Anchor with behavioral economics research showing that visible progress indicators increase goal completion rates by up to 40%.",,credit monitoring behavior change|progress effect personal finance|gamification credit building,,scheduled,
,2029-08-13,,,🐯 📸 Photo 1: Babs (Barbie) — Why Watching Your Credit Score Move Actually Chang,,Pillar 4: Behavioral Science Insights,,Cat content for: Why Watching Your Credit Score Move Actually Changes Your Be,,,,cat_content,
,2029-08-20,,,🐯 📹 Video 1: Babs (Barbie) — Why Watching Your Credit Score Move Actually Chang,,Pillar 4: Behavioral Science Insights,,Cat content for: Why Watching Your Credit Score Move Actually Changes Your Be,,,,cat_content,
,2029-08-27,,,🐯 📹 Video 2: Babs (Barbie) — Why Watching Your Credit Score Move Actually Chang,,Pillar 4: Behavioral Science Insights,,Cat content for: Why Watching Your Credit Score Move Actually Changes Your Be,,,,cat_content,
,2029-09-03,,,🐯 📸 Photo 2: Babs (Barbie) — Why Watching Your Credit Score Move Actually Chang,,Pillar 4: Behavioral Science Insights,,Cat content for: Why Watching Your Credit Score Move Actually Changes Your Be,,,,cat_content,
,2029-09-10,,,🐯 📹 Video 3: Babs (Barbie) — Why Watching Your Credit Score Move Actually Chang,,Pillar 4: Behavioral Science Insights,,Cat content for: Why Watching Your Credit Score Move Actually Changes Your Be,,,,cat_content,
industry,2029-09-17,remote work gender gap,,RTO Mandates Have a Gender Problem — Here's What the Data Shows,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"Two in three C-suite leaders report that return-to-office mandates caused disproportionate female exits (Upwork 2024). This post examines the mechanism — not just that RTO hurts women, but why: school pickup windows, eldercare coordination, geographic constraints, and the compounding effect on women already shouldering 60% more unpaid care work than men. IvyEdge's angle: remote-first is not a perk, it's a structural choice with measurable workforce-participation consequences. Positions IvyEdge's 100% remote model as a deliberate policy, not a default.",,RTO mandate women leaving jobs|return to office disproportionate impact women|remote work caregiving flexibility,,scheduled,
,2029-09-24,,,🐯 📸 Photo 1: Babs (Barbie) — RTO Mandates Have a Gender Problem — Here's What t,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: RTO Mandates Have a Gender Problem — Here's What the Data Sh,,,,cat_content,
,2029-10-01,,,🐯 📹 Video 1: Babs (Barbie) — RTO Mandates Have a Gender Problem — Here's What t,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: RTO Mandates Have a Gender Problem — Here's What the Data Sh,,,,cat_content,
,2029-10-08,,,🐯 📹 Video 2: Babs (Barbie) — RTO Mandates Have a Gender Problem — Here's What t,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: RTO Mandates Have a Gender Problem — Here's What the Data Sh,,,,cat_content,
,2029-10-15,,,🐯 📸 Photo 2: Babs (Barbie) — RTO Mandates Have a Gender Problem — Here's What t,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: RTO Mandates Have a Gender Problem — Here's What the Data Sh,,,,cat_content,
,2029-10-22,,,🐯 📹 Video 3: Babs (Barbie) — RTO Mandates Have a Gender Problem — Here's What t,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: RTO Mandates Have a Gender Problem — Here's What the Data Sh,,,,cat_content,
industry,2029-10-29,four day work week women,,The Four-Day Work Week Isn't a Startup Experiment — It's a Retention Strategy,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,All,"90% of companies in the world's largest 4-day week trial kept it permanently (Scientific American 2025). This post moves past the productivity debate and focuses on what the research shows specifically for women: reduced burnout, higher retention, and more equitable distribution of caregiving responsibilities at home. IvyEdge's angle: a shortened work week isn't a flexibility perk — it's a structural lever for closing the gender participation gap. Anchor with Microsoft Japan and Reykjavik city trial data showing output held flat or improved.",,four day week productivity data|32 hour work week caregiving|companies keeping 4 day week permanently,,scheduled,
,2029-11-05,,,🐯 📸 Photo 1: Babs (Barbie) — The Four-Day Work Week Isn't a Startup Experiment ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Four-Day Work Week Isn't a Startup Experiment — It's a R,,,,cat_content,
,2029-11-12,,,🐯 📹 Video 1: Babs (Barbie) — The Four-Day Work Week Isn't a Startup Experiment ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Four-Day Work Week Isn't a Startup Experiment — It's a R,,,,cat_content,
,2029-11-19,,,🐯 📹 Video 2: Babs (Barbie) — The Four-Day Work Week Isn't a Startup Experiment ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Four-Day Work Week Isn't a Startup Experiment — It's a R,,,,cat_content,
,2029-11-26,,,🐯 📸 Photo 2: Babs (Barbie) — The Four-Day Work Week Isn't a Startup Experiment ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Four-Day Work Week Isn't a Startup Experiment — It's a R,,,,cat_content,
,2029-12-03,,,🐯 📹 Video 3: Babs (Barbie) — The Four-Day Work Week Isn't a Startup Experiment ,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: The Four-Day Work Week Isn't a Startup Experiment — It's a R,,,,cat_content,
educational,2029-12-10,employer student loan repayment benefit women,,Student Loan Debt Is a Women's Issue. Your Employer Could Help Fix It.,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,Priya,"Women hold approximately two-thirds of the outstanding $1.7 trillion in U.S. student loan debt (Investopedia). This post explains why — longer enrollment periods, lower starting salaries compressing repayment capacity, and career gaps that extend repayment timelines — and then walks through what employers can actually do under SECURE 2.0 (2024), which allows 401(k) matching on student loan payments. IvyEdge's angle: this is a solvable structural problem, not a personal finance failure, and forward-thinking employers are already acting on it.",,women student loan debt statistics|SECURE 2.0 student loan employer match|student debt gender gap workplace,,scheduled,
,2029-12-17,,,🐯 📸 Photo 1: Babs (Barbie) — Student Loan Debt Is a Women's Issue. Your Employe,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: Student Loan Debt Is a Women's Issue. Your Employer Could He,,,,cat_content,
,2029-12-24,,,🐯 📹 Video 1: Babs (Barbie) — Student Loan Debt Is a Women's Issue. Your Employe,,Pillar 6: Building Differently — How Companies Can Stop Pushing Women Out,,Cat content for: Student Loan Debt Is a Women's Issue. Your Employer Could He,,,,cat_content,
